slpd,etpjd,minda,mindd,preca,precd,relha,relhd,sfmmd,tavea,tdaya,tmaxd,tmina,tmind,vpama,vpamd,road_dist,trail_dist,merge_dist,elevation,VETH
1.81,0.656266001,-11.06021505,-26.14870072,15.08736559,-6.079077061,17.52921147,-1.597676651,258.5344278,25.73172043,30.87697133,22.31050307,1.369175627,13.68770481,21.78673835,6.475998464,228,1014,228,4757,0
1.81,0.656266001,-11.06021505,-26.14870072,15.08736559,-6.079077061,17.52921147,-1.597676651,258.5344278,25.73172043,30.87697133,22.31050307,1.369175627,13.68770481,21.78673835,6.475998464,252,984,252,4755,0
1.81,0.656266001,-11.06021505,-26.14870072,15.08736559,-6.079077061,17.52921147,-1.597676651,258.5344278,25.73172043,30.87697133,22.31050307,1.369175627,13.68770481,21.78673835,6.475998464,278,955,278,4753,0
1.56,0.639868152,-8.669802867,-26.29613415,16.47777778,-6.726510497,17.81209677,-1.612077573,259.9906618,24.23781362,29.23611111,22.0218702,0.577150538,13.54000896,21.40815412,6.313338454,528,1193,528,5079,0
1.56,0.639868152,-8.669802867,-26.29613415,16.47777778,-6.726510497,17.81209677,-1.612077573,259.9906618,24.23781362,29.23611111,22.0218702,0.577150538,13.54000896,21.40815412,6.313338454,518,1211,518,5077,0
1.56,0.639868152,-8.669802867,-26.29613415,16.47777778,-6.726510497,17.81209677,-1.612077573,259.9906618,24.23781362,29.23611111,22.0218702,0.577150538,13.54000896,21.40815412,6.313338454,500,1213,500,5076,0
1.81,0.656266001,-11.06021505,-26.14870072,15.08736559,-6.079077061,17.52921147,-1.597676651,258.5344278,25.73172043,30.87697133,22.31050307,1.369175627,13.68770481,21.78673835,6.475998464,247,1009,247,4758,0
1.81,0.656266001,-11.06021505,-26.14870072,15.08736559,-6.079077061,17.52921147,-1.597676651,258.5344278,25.73172043,30.87697133,22.31050307,1.369175627,13.68770481,21.78673835,6.475998464,270,979,270,4756,0
1.81,0.656266001,-11.06021505,-26.14870072,15.08736559,-6.079077061,17.52921147,-1.597676651,258.5344278,25.73172043,30.87697133,22.31050307,1.369175627,13.68770481,21.78673835,6.475998464,294,949,294,4754,0
1.28,0.63717998,-8.60546595,-26.20742448,16.45878136,-6.721134153,17.81209677,-1.612077573,260.8747632,24.23781362,29.23879928,22.0218702,0.57983871,13.54269713,21.41084229,6.316026626,557,1180,557,5078,0
1.28,0.63717998,-8.60546595,-26.20742448,16.45878136,-6.721134153,17.81209677,-1.612077573,260.8747632,24.23781362,29.23879928,22.0218702,0.57983871,13.54269713,21.41084229,6.316026626,542,1181,542,5077,0
1.28,0.63717998,-8.60546595,-26.20742448,16.45878136,-6.721134153,17.81209677,-1.612077573,260.8747632,24.23781362,29.23879928,22.0218702,0.57983871,13.54269713,21.41084229,6.316026626,525,1183,525,5075,0
1.81,0.656266001,-11.06021505,-26.14870072,15.08736559,-6.079077061,17.52921147,-1.597676651,258.5344278,25.73172043,30.87697133,22.31050307,1.369175627,13.68770481,21.78673835,6.475998464,269,1004,269,4758,0
1.81,0.656266001,-11.06021505,-26.14870072,15.08736559,-6.079077061,17.52921147,-1.597676651,258.5344278,25.73172043,30.87697133,22.31050307,1.369175627,13.68770481,21.78673835,6.475998464,290,974,290,4757,0
1.81,0.656266001,-11.06021505,-26.14870072,15.08736559,-6.079077061,17.52921147,-1.597676651,258.5344278,25.73172043,30.87697133,22.31050307,1.369175627,13.68770481,21.78673835,6.475998464,312,945,312,4756,0
1.28,0.63717998,-8.60546595,-26.20742448,16.45878136,-6.721134153,17.81209677,-1.612077573,260.8747632,24.23781362,29.23879928,22.0218702,0.57983871,13.54269713,21.41084229,6.316026626,584,1150,584,5077,0
1.28,0.63717998,-8.60546595,-26.20742448,16.45878136,-6.721134153,17.81209677,-1.612077573,260.8747632,24.23781362,29.23879928,22.0218702,0.57983871,13.54269713,21.41084229,6.316026626,567,1151,567,5076,0
1.28,0.63717998,-8.60546595,-26.20742448,16.45878136,-6.721134153,17.81209677,-1.612077573,260.8747632,24.23781362,29.23879928,22.0218702,0.57983871,13.54269713,21.41084229,6.316026626,550,1153,550,5074,0
